estimand,mean,ci95_low,ci95_high,n_queries
ann_score_H1_slope,0.001992447015720412,0.0019558004080317917,0.00202910879586848,3316
exact_rescore_H1_slope,0.0016400665104326277,0.0016065220911360813,0.0016743444625624715,3316
exact_minus_ann_H1_slope,-0.0003523805052877839,-0.00036414652500403827,-0.00034080781153374016,3316
ann_score_H2_slope,0.007569923052520493,0.007310714229077197,0.007831347578990394,3316
exact_rescore_H2_slope,0.006016116553150309,0.005759174824217217,0.006266036086811204,3316
exact_minus_ann_H2_slope,-0.001553806499370185,-0.0016165690219256364,-0.0014929729370888594,3316
ann_score_H3_abs_slope,0.030964039034037105,0.029110240729805267,0.03276904194799057,3316
exact_rescore_H3_abs_slope,0.021999676436201394,0.02036540841584914,0.02367247356655315,3316
exact_minus_ann_H3_abs_slope,-0.008964362597835715,-0.009406148948608643,-0.00854033485704972,3316
ann_score_H3_signed_slope,0.03166623769144083,0.029775661255446798,0.03349703300168188,3316
exact_rescore_H3_signed_slope,0.02122209296710405,0.019553828964054828,0.022851708486985912,3316
exact_minus_ann_H3_signed_slope,-0.010444144724336779,-0.010877102469346983,-0.010003672921486895,3316
ann_score_R1_abs_gap_final_minus_initial,0.14906389371808182,0.1405322281422542,0.15742352132425277,3316
exact_rescore_R1_abs_gap_final_minus_initial,0.10518854337755221,0.09777897193042877,0.11263825358909425,3316
exact_minus_ann_R1_abs_gap_final_minus_initial,-0.043875350340529605,-0.045898211774210385,-0.041868881729012875,3316
